"e","group","a","c","n","o","age"
0.698,"A",0.605,0.579,0.584,0.698,17
0.77,"B",0.642,0.736,0.629,0.738,22
0.829,"C",0.736,0.743,0.684,0.75,27
0.84,"D",0.686,0.787,0.67,0.792,32
0.85,"E",0.779,0.812,0.673,0.798,37
0.861,"F",0.774,0.83,0.742,0.792,42
0.878,"G",0.736,0.813,0.723,0.81,47
0.839,"H",0.786,0.846,0.767,0.835,52
0.901,"I",0.746,0.799,0.8,0.843,57
0.883,"J",0.713,0.873,0.711,0.802,62
0.886,"K",0.632,0.849,0.792,0.735,67
0.841,"L",0.604,0.749,0.723,0.76,72
0.782,"M",0.672,0.843,0.66,0.692,77
0.848,"N",0.597,0.755,0.629,0.725,82
