"","Chi-Square","DF","CFI","TLI","RMSEA","SRMR"
"Model 1",91.031,70,0.999,0.998,0.021,0.011
"Model 2",117.596,98,0.999,0.998,0.017,0.018
"Model 3",186.137,126,0.998,0.996,0.027,0.02
"Model 4",334.848,152,0.993,0.991,0.042,0.052
"Model 5",687.243,178,0.981,0.977,0.065,0.048
"Model 11",160.72,70,0.995,0.985,0.044,0.021
"Model 21",206.833,98,0.994,0.988,0.039,0.031
"Model 31",253.891,126,0.993,0.989,0.039,0.033
"Model 41",318.833,152,0.991,0.988,0.04,0.05
"Model 51",525.828,178,0.981,0.978,0.054,0.064
"Model 12",82.66,70,1,0.999,0.016,0.011
"Model 22",118.72,98,0.999,0.998,0.017,0.024
"Model 32",153.951,126,0.999,0.998,0.018,0.028
"Model 42",182.221,152,0.999,0.998,0.017,0.036
"Model 52",279.875,178,0.996,0.995,0.029,0.04
"Model 13",84.388,70,0.999,0.998,0.017,0.012
"Model 23",117.488,98,0.999,0.998,0.017,0.018
"Model 33",187.564,126,0.997,0.996,0.027,0.022
"Model 43",238.434,152,0.996,0.995,0.029,0.03
"Model 53",633.995,178,0.98,0.977,0.062,0.039
"Model 14",94.102,70,0.999,0.997,0.023,0.014
"Model 24",118.401,98,0.999,0.998,0.017,0.018
"Model 34",181.822,126,0.998,0.996,0.026,0.022
"Model 44",231.985,152,0.997,0.995,0.028,0.033
"Model 54",557.171,178,0.984,0.982,0.056,0.048
