"e","group","a","c","n","o","age"
0.736,"A",1.175,0.881,1.027,0.948,17
0.806,"A",1.092,0.943,1.121,1.081,21
0.96,"B",1.095,0.996,1.107,1.003,22
0.909,"B",1.053,1.009,0.973,1.057,26
0.889,"C",0.941,1.094,1.2,0.992,27
0.992,"C",1.076,0.948,0.978,0.982,31
1,"D",1,1,1,1,32
1.109,"D",0.983,0.977,0.966,0.997,36
0.934,"E",1.083,0.902,0.983,1.109,37
1.003,"E",1.129,0.884,0.988,1.142,41
0.987,"F",0.996,0.923,0.998,0.925,42
0.971,"F",0.965,0.941,1.046,1.048,46
1.01,"G",0.966,0.94,1.064,0.93,47
1.007,"G",0.976,0.924,1.008,1.039,51
0.911,"H",0.988,1.001,1.113,1.168,52
0.891,"H",0.966,0.941,0.964,1.172,56
0.952,"I",1.065,0.914,1.132,1.102,57
0.888,"I",1.116,0.957,1.039,1.113,61
0.791,"J",0.915,0.966,0.963,1.018,62
0.828,"J",1.037,0.976,0.983,0.985,66
0.794,"K",1.108,0.909,1.013,0.951,67
0.733,"K",1.205,0.977,1.029,1.067,71
0.755,"L",1.198,0.873,0.902,0.804,72
0.701,"L",1.267,0.881,0.952,0.964,76
0.63,"M",1.32,0.86,0.929,1.092,77
0.54,"M",1.348,0.843,0.742,1.132,81
0.61,"N",1.629,0.952,0.813,0.979,82
0.639,"N",1.477,0.85,0.947,1.239,86
